Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name	Gene > Interactions > Participant 2 > Standard Name	Gene > Interactions > Participant 2 . Secondary Identifier	Gene > Interactions > Participant 2 . Primary Identifier	Gene > Interactions > Details > Relationship Type
S000000404	YBR200W	BEM1	""	YDR248C	S000002656	genetic
S000000404	YBR200W	BEM1	""	YGR122W	S000003354	genetic
S000000404	YBR200W	BEM1	""	YKL069W	S000001552	genetic
S000000404	YBR200W	BEM1	""	YLR287C	S000004277	genetic
S000000404	YBR200W	BEM1	""	YMR295C	S000004910	genetic
S000000404	YBR200W	BEM1	""	YMR295C	S000004910	genetic
S000000404	YBR200W	BEM1	""	YNR071C	S000005354	physical
S000000404	YBR200W	BEM1	""	YPL150W	S000006071	genetic
S000000404	YBR200W	BEM1	""	YPL150W	S000006071	genetic
S000000404	YBR200W	BEM1	""	YPL150W	S000006071	genetic
S000000404	YBR200W	BEM1	""	YPL150W	S000006071	genetic
S000000520	YCL014W	BUD3	ACE2	YLR131C	S000004121	genetic
S000000520	YCL014W	BUD3	AIM44	YPL158C	S000006079	genetic
S000000520	YCL014W	BUD3	AIM44	YPL158C	S000006079	genetic
S000000520	YCL014W	BUD3	AIM44	YPL158C	S000006079	genetic
S000000520	YCL014W	BUD3	ANP1	YEL036C	S000000762	genetic
S000000520	YCL014W	BUD3	ANP1	YEL036C	S000000762	genetic
S000000520	YCL014W	BUD3	ARD1	YHR013C	S000001055	genetic
S000000520	YCL014W	BUD3	ARP1	YHR129C	S000001171	genetic
S000000520	YCL014W	BUD3	ATG1	YGL180W	S000003148	physical
S000000520	YCL014W	BUD3	ATP11	YNL315C	S000005259	genetic
S000000520	YCL014W	BUD3	ATP22	YDR350C	S000002758	genetic
S000000520	YCL014W	BUD3	ATX1	YNL259C	S000005203	genetic
S000000520	YCL014W	BUD3	AXL2	YIL140W	S000001402	physical
S000000520	YCL014W	BUD3	BMH1	YER177W	S000000979	physical
S000000520	YCL014W	BUD3	BMH2	YDR099W	S000002506	physical
S000000520	YCL014W	BUD3	BMH2	YDR099W	S000002506	physical
S000000520	YCL014W	BUD3	BMS1	YPL217C	S000006138	genetic
S000000520	YCL014W	BUD3	BUD4	YJR092W	S000003852	physical
S000000520	YCL014W	BUD3	BUD4	YJR092W	S000003852	physical
S000000520	YCL014W	BUD3	BUD4	YJR092W	S000003852	physical
S000000520	YCL014W	BUD3	BUD4	YJR092W	S000003852	physical
S000000520	YCL014W	BUD3	BUD4	YJR092W	S000003852	physical
S000000520	YCL014W	BUD3	BUD5	YCR038C	S000000634	physical
S000000520	YCL014W	BUD3	BUD8	YLR353W	S000004345	genetic
S000000520	YCL014W	BUD3	CAB5	YDR196C	S000002604	genetic
S000000520	YCL014W	BUD3	CCC1	YLR220W	S000004210	genetic
S000000520	YCL014W	BUD3	CCR4	YAL021C	S000000019	physical
S000000520	YCL014W	BUD3	CDC10	YCR002C	S000000595	physical
S000000520	YCL014W	BUD3	CDC11	YJR076C	S000003837	genetic
S000000520	YCL014W	BUD3	CDC12	YHR107C	S000001149	genetic
S000000520	YCL014W	BUD3	CDC12	YHR107C	S000001149	genetic
S000000520	YCL014W	BUD3	CDC12	YHR107C	S000001149	physical
S000000520	YCL014W	BUD3	CDC14	YFR028C	S000001924	physical
S000000520	YCL014W	BUD3	CDC14	YFR028C	S000001924	physical
S000000520	YCL014W	BUD3	CDC14	YFR028C	S000001924	physical
S000000520	YCL014W	BUD3	CDC28	YBR160W	S000000364	physical
S000000520	YCL014W	BUD3	CDC28	YBR160W	S000000364	physical
S000000520	YCL014W	BUD3	CDC3	YLR314C	S000004306	genetic
S000000520	YCL014W	BUD3	CDC42	YLR229C	S000004219	genetic
S000000520	YCL014W	BUD3	CDC42	YLR229C	S000004219	genetic
S000000520	YCL014W	BUD3	CDC42	YLR229C	S000004219	physical
S000000520	YCL014W	BUD3	CDC42	YLR229C	S000004219	physical
S000000520	YCL014W	BUD3	CIN8	YEL061C	S000000787	genetic
S000000520	YCL014W	BUD3	CLA4	YNL298W	S000005242	genetic
S000000520	YCL014W	BUD3	CLA4	YNL298W	S000005242	genetic
S000000520	YCL014W	BUD3	CLB2	YPR119W	S000006323	physical
S000000520	YCL014W	BUD3	CLB2	YPR119W	S000006323	physical
S000000520	YCL014W	BUD3	CLB2	YPR119W	S000006323	physical
S000000520	YCL014W	BUD3	CLB2	YPR119W	S000006323	physical
S000000520	YCL014W	BUD3	CLN2	YPL256C	S000006177	physical
S000000520	YCL014W	BUD3	CMR2	YOR093C	S000005619	genetic
S000000520	YCL014W	BUD3	CNS1	YBR155W	S000000359	physical
S000000520	YCL014W	BUD3	CSE4	YKL049C	S000001532	physical
S000000520	YCL014W	BUD3	DDC1	YPL194W	S000006115	genetic
S000000520	YCL014W	BUD3	DUN1	YDL101C	S000002259	genetic
S000000520	YCL014W	BUD3	ELG1	YOR144C	S000005670	genetic
S000000520	YCL014W	BUD3	ESS1	YJR017C	S000003778	genetic
S000000520	YCL014W	BUD3	FCP1	YMR277W	S000004890	genetic
S000000520	YCL014W	BUD3	FLO11	YIR019C	S000001458	genetic
S000000520	YCL014W	BUD3	GIN4	YDR507C	S000002915	genetic
S000000520	YCL014W	BUD3	GIN4	YDR507C	S000002915	genetic
S000000520	YCL014W	BUD3	GIN4	YDR507C	S000002915	genetic
S000000520	YCL014W	BUD3	GIN4	YDR507C	S000002915	genetic
S000000520	YCL014W	BUD3	GUS1	YGL245W	S000003214	physical
S000000520	YCL014W	BUD3	HSC82	YMR186W	S000004798	physical
S000000520	YCL014W	BUD3	HSP82	YPL240C	S000006161	physical
S000000520	YCL014W	BUD3	HXK1	YFR053C	S000001949	physical
S000000520	YCL014W	BUD3	IRC21	YMR073C	S000004677	genetic
S000000520	YCL014W	BUD3	ISW1	YBR245C	S000000449	physical
S000000520	YCL014W	BUD3	LDB18	YLL049W	S000003972	genetic
S000000520	YCL014W	BUD3	LSM8	YJR022W	S000003783	genetic
S000000520	YCL014W	BUD3	MME1	YMR166C	S000004776	genetic
S000000520	YCL014W	BUD3	MNN10	YDR245W	S000002653	genetic
S000000520	YCL014W	BUD3	MOG1	YJR074W	S000003835	physical
S000000520	YCL014W	BUD3	MRN1	YPL184C	S000006105	genetic
S000000520	YCL014W	BUD3	MRPL16	YBL038W	S000000134	physical
S000000520	YCL014W	BUD3	MRPL16	YBL038W	S000000134	physical
S000000520	YCL014W	BUD3	MRPL9	YGR220C	S000003452	physical
S000000520	YCL014W	BUD3	MRPL9	YGR220C	S000003452	physical
S000000520	YCL014W	BUD3	NAB2	YGL122C	S000003090	physical
S000000520	YCL014W	BUD3	NAP1	YKR048C	S000001756	physical
S000000520	YCL014W	BUD3	PAP2	YOL115W	S000005475	genetic
S000000520	YCL014W	BUD3	PET111	YMR257C	S000004870	genetic
S000000520	YCL014W	BUD3	PFY1	YOR122C	S000005648	genetic
S000000520	YCL014W	BUD3	PHO85	YPL031C	S000005952	physical
S000000520	YCL014W	BUD3	POP4	YBR257W	S000000461	genetic
S000000520	YCL014W	BUD3	RAD27	YKL113C	S000001596	genetic
S000000520	YCL014W	BUD3	RAD53	YPL153C	S000006074	physical
S000000520	YCL014W	BUD3	RAD53	YPL153C	S000006074	physical
S000000520	YCL014W	BUD3	RAP1	YNL216W	S000005160	genetic
S000000520	YCL014W	BUD3	REB1	YBR049C	S000000253	genetic
S000000520	YCL014W	BUD3	RIX1	YHR197W	S000001240	physical
S000000520	YCL014W	BUD3	RMD9	YGL107C	S000003075	genetic
S000000520	YCL014W	BUD3	RNH202	YDR279W	S000002687	genetic
S000000520	YCL014W	BUD3	RPD3	YNL330C	S000005274	genetic
S000000520	YCL014W	BUD3	RPD3	YNL330C	S000005274	genetic
S000000520	YCL014W	BUD3	RPO41	YFL036W	S000001858	genetic
S000000520	YCL014W	BUD3	RRP1	YDR087C	S000002494	physical
S000000520	YCL014W	BUD3	RSM19	YNR037C	S000005320	genetic
S000000520	YCL014W	BUD3	RVS167	YDR388W	S000002796	physical
S000000520	YCL014W	BUD3	SGS1	YMR190C	S000004802	genetic
S000000520	YCL014W	BUD3	SGV1	YPR161C	S000006365	physical
S000000520	YCL014W	BUD3	SHM2	YLR058C	S000004048	physical
S000000520	YCL014W	BUD3	SHS1	YDL225W	S000002384	genetic
S000000520	YCL014W	BUD3	SHS1	YDL225W	S000002384	genetic
S000000520	YCL014W	BUD3	SHS1	YDL225W	S000002384	genetic
S000000520	YCL014W	BUD3	SHS1	YDL225W	S000002384	genetic
S000000520	YCL014W	BUD3	SIS2	YKR072C	S000001780	genetic
S000000520	YCL014W	BUD3	SIZ1	YDR409W	S000002817	physical
S000000520	YCL014W	BUD3	SMI1	YGR229C	S000003461	physical
S000000520	YCL014W	BUD3	SNU13	YEL026W	S000000752	physical
S000000520	YCL014W	BUD3	SPO13	YHR014W	S000001056	genetic
S000000520	YCL014W	BUD3	SPT5	YML010W	S000004470	physical
S000000520	YCL014W	BUD3	SSB2	YNL209W	S000005153	physical
S000000520	YCL014W	BUD3	SSE1	YPL106C	S000006027	physical
S000000520	YCL014W	BUD3	SSE1	YPL106C	S000006027	physical
S000000520	YCL014W	BUD3	SSZ1	YHR064C	S000001106	physical
S000000520	YCL014W	BUD3	SWI5	YDR146C	S000002553	genetic
S000000520	YCL014W	BUD3	TAD3	YLR316C	S000004308	genetic
S000000520	YCL014W	BUD3	TDH1	YJL052W	S000003588	physical
S000000520	YCL014W	BUD3	TFC6	YDR362C	S000002770	genetic
S000000520	YCL014W	BUD3	TIF34	YMR146C	S000004754	genetic
S000000520	YCL014W	BUD3	TMA7	YLR262C-A	S000007246	genetic
S000000520	YCL014W	BUD3	TPK1	YJL164C	S000003700	physical
S000000520	YCL014W	BUD3	TPM1	YNL079C	S000005023	genetic
S000000520	YCL014W	BUD3	TTI1	YKL033W	S000001516	genetic
S000000520	YCL014W	BUD3	TUS1	YLR425W	S000004417	genetic
S000000520	YCL014W	BUD3	UBC9	YDL064W	S000002222	physical
S000000520	YCL014W	BUD3	UTP7	YER082C	S000000884	physical
S000000520	YCL014W	BUD3	VPS17	YOR132W	S000005658	genetic
S000000520	YCL014W	BUD3	YCK1	YHR135C	S000001177	physical
S000000520	YCL014W	BUD3	""	YEL023C	S000000749	physical
S000000520	YCL014W	BUD3	""	YIR016W	S000001455	genetic
S000000520	YCL014W	BUD3	""	YIR016W	S000001455	genetic
S000000520	YCL014W	BUD3	""	YJL107C	S000003643	genetic
S000000520	YCL014W	BUD3	""	YKR075C	S000001783	genetic
S000000520	YCL014W	BUD3	""	YML054C-A	S000028573	genetic
S000000810	YER008C	SEC3	ACL4	YDR161W	S000002568	genetic
S000000810	YER008C	SEC3	ACS1	YAL054C	S000000050	genetic
S000000810	YER008C	SEC3	ACT1	YFL039C	S000001855	genetic
S000000810	YER008C	SEC3	AIM22	YJL046W	S000003582	genetic
S000000810	YER008C	SEC3	AMD1	YML035C	S000004498	genetic
S000000810	YER008C	SEC3	ASA1	YPR085C	S000006289	genetic
S000000810	YER008C	SEC3	ATG1	YGL180W	S000003148	genetic
S000000810	YER008C	SEC3	ATG1	YGL180W	S000003148	genetic
S000000810	YER008C	SEC3	ATG12	YBR217W	S000000421	genetic
S000000810	YER008C	SEC3	ATG12	YBR217W	S000000421	genetic
S000000810	YER008C	SEC3	ATG15	YCR068W	S000000664	genetic
S000000810	YER008C	SEC3	ATG3	YNR007C	S000005290	genetic
S000000810	YER008C	SEC3	ATG3	YNR007C	S000005290	genetic
S000000810	YER008C	SEC3	ATG41	YPL250C	S000006171	genetic
S000000810	YER008C	SEC3	ATG8	YBL078C	S000000174	genetic
S000000810	YER008C	SEC3	BAP3	YDR046C	S000002453	genetic
S000000810	YER008C	SEC3	BCH1	YMR237W	S000004850	genetic
S000000810	YER008C	SEC3	BEM1	YBR200W	S000000404	genetic
S000000810	YER008C	SEC3	BEM1	YBR200W	S000000404	genetic
S000000810	YER008C	SEC3	BEM1	YBR200W	S000000404	physical
S000000810	YER008C	SEC3	BEM2	YER155C	S000000957	genetic
S000000810	YER008C	SEC3	BMH1	YER177W	S000000979	genetic
S000000810	YER008C	SEC3	BMH2	YDR099W	S000002506	genetic
S000000810	YER008C	SEC3	BNI1	YNL271C	S000005215	genetic
S000000810	YER008C	SEC3	BNI1	YNL271C	S000005215	genetic
S000000810	YER008C	SEC3	BOI1	YBL085W	S000000181	genetic
S000000810	YER008C	SEC3	BOI1	YBL085W	S000000181	physical
S000000810	YER008C	SEC3	BOI1	YBL085W	S000000181	physical
S000000810	YER008C	SEC3	BOI1	YBL085W	S000000181	physical
S000000810	YER008C	SEC3	BOI2	YER114C	S000000916	physical
S000000810	YER008C	SEC3	BTS1	YPL069C	S000005990	genetic
S000000810	YER008C	SEC3	BTS1	YPL069C	S000005990	genetic
S000000810	YER008C	SEC3	BUD31	YCR063W	S000000659	genetic
S000000810	YER008C	SEC3	BUD4	YJR092W	S000003852	genetic
S000000810	YER008C	SEC3	BUD6	YLR319C	S000004311	genetic
S000000810	YER008C	SEC3	CCR4	YAL021C	S000000019	physical
S000000810	YER008C	SEC3	CCZ1	YBR131W	S000000335	genetic
S000000810	YER008C	SEC3	CDC12	YHR107C	S000001149	genetic
S000000810	YER008C	SEC3	CDC28	YBR160W	S000000364	genetic
S000000810	YER008C	SEC3	CDC42	YLR229C	S000004219	genetic
S000000810	YER008C	SEC3	CDC42	YLR229C	S000004219	genetic
S000000810	YER008C	SEC3	CDC42	YLR229C	S000004219	genetic
S000000810	YER008C	SEC3	CDC42	YLR229C	S000004219	genetic
S000000810	YER008C	SEC3	CDC42	YLR229C	S000004219	genetic
S000000810	YER008C	SEC3	CDC42	YLR229C	S000004219	physical
S000000810	YER008C	SEC3	CDC42	YLR229C	S000004219	physical
S000000810	YER008C	SEC3	CDC42	YLR229C	S000004219	physical
S000000810	YER008C	SEC3	CDC55	YGL190C	S000003158	genetic
S000000810	YER008C	SEC3	CHM7	YJL049W	S000003585	genetic
S000000810	YER008C	SEC3	CMC1	YKL137W	S000001620	genetic
S000000810	YER008C	SEC3	COG1	YGL223C	S000003191	genetic
S000000810	YER008C	SEC3	COX10	YPL172C	S000006093	genetic
S000000810	YER008C	SEC3	COX23	YHR116W	S000001158	genetic
S000000810	YER008C	SEC3	COX5A	YNL052W	S000004997	genetic
S000000810	YER008C	SEC3	COX7	YMR256C	S000004869	genetic
S000000810	YER008C	SEC3	CRM1	YGR218W	S000003450	physical
S000000810	YER008C	SEC3	CSE4	YKL049C	S000001532	physical
S000000810	YER008C	SEC3	CUL3	YGR003W	S000003235	genetic
S000000810	YER008C	SEC3	CYT1	YOR065W	S000005591	genetic
S000000810	YER008C	SEC3	DGK1	YOR311C	S000005838	genetic
S000000810	YER008C	SEC3	DHH1	YDL160C	S000002319	physical
S000000810	YER008C	SEC3	DHH1	YDL160C	S000002319	physical
S000000810	YER008C	SEC3	DRS2	YAL026C	S000000024	genetic
S000000810	YER008C	SEC3	DSS4	YPR017C	S000006221	genetic
S000000810	YER008C	SEC3	EAF1	YDR359C	S000002767	genetic
S000000810	YER008C	SEC3	ENT2	YLR206W	S000004196	genetic
S000000810	YER008C	SEC3	ERG6	YML008C	S000004467	genetic
S000000810	YER008C	SEC3	ERV14	YGL054C	S000003022	genetic
S000000810	YER008C	SEC3	ETR1	YBR026C	S000000230	genetic
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	genetic
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	genetic
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	genetic
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	genetic
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	genetic
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	genetic
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	genetic
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	genetic
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	genetic
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	genetic
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	genetic
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	genetic
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	physical
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	physical
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	physical
S000000810	YER008C	SEC3	EXO70	YJL085W	S000003621	physical
S000000810	YER008C	SEC3	EXO84	YBR102C	S000000306	genetic
S000000810	YER008C	SEC3	EXO84	YBR102C	S000000306	genetic
S000000810	YER008C	SEC3	EXO84	YBR102C	S000000306	genetic
S000000810	YER008C	SEC3	EXO84	YBR102C	S000000306	physical
S000000810	YER008C	SEC3	EXO84	YBR102C	S000000306	physical
S000000810	YER008C	SEC3	EXO84	YBR102C	S000000306	physical
S000000810	YER008C	SEC3	EXO84	YBR102C	S000000306	physical
S000000810	YER008C	SEC3	EXO84	YBR102C	S000000306	physical
S000000810	YER008C	SEC3	FMC1	YIL098C	S000001360	genetic
S000000810	YER008C	SEC3	FSH1	YHR049W	S000001091	genetic
S000000810	YER008C	SEC3	GAS1	YMR307W	S000004924	genetic
S000000810	YER008C	SEC3	GAS1	YMR307W	S000004924	genetic
S000000810	YER008C	SEC3	GDI1	YER136W	S000000938	genetic
S000000810	YER008C	SEC3	GSP1	YLR293C	S000004284	physical
S000000810	YER008C	SEC3	HAP2	YGL237C	S000003206	genetic
S000000810	YER008C	SEC3	HAP3	YBL021C	S000000117	genetic
S000000810	YER008C	SEC3	HES1	YOR237W	S000005763	genetic
S000000810	YER008C	SEC3	HHF1	YBR009C	S000000213	physical
S000000810	YER008C	SEC3	HHF2	YNL030W	S000004975	physical
S000000810	YER008C	SEC3	HHT1	YBR010W	S000000214	physical
S000000810	YER008C	SEC3	HHT2	YNL031C	S000004976	physical
S000000810	YER008C	SEC3	HTD2	YHR067W	S000001109	genetic
S000000810	YER008C	SEC3	INO4	YOL108C	S000005468	genetic
S000000810	YER008C	SEC3	IQG1	YPL242C	S000006163	genetic
S000000810	YER008C	SEC3	IRA2	YOL081W	S000005441	genetic
S000000810	YER008C	SEC3	ISW1	YBR245C	S000000449	physical
S000000810	YER008C	SEC3	KES1	YPL145C	S000006066	genetic
S000000810	YER008C	SEC3	KIN1	YDR122W	S000002529	genetic
S000000810	YER008C	SEC3	KIN2	YLR096W	S000004086	genetic
S000000810	YER008C	SEC3	LAS17	YOR181W	S000005707	genetic
S000000810	YER008C	SEC3	LAT1	YNL071W	S000005015	genetic
S000000810	YER008C	SEC3	LDB18	YLL049W	S000003972	genetic
S000000810	YER008C	SEC3	LEA1	YPL213W	S000006134	genetic
S000000810	YER008C	SEC3	LGE1	YPL055C	S000005976	genetic
S000000810	YER008C	SEC3	LIP2	YLR239C	S000004229	genetic
S000000810	YER008C	SEC3	LIP5	YOR196C	S000005722	genetic
S000000810	YER008C	SEC3	LIP5	YOR196C	S000005722	genetic
S000000810	YER008C	SEC3	MNN11	YJL183W	S000003719	genetic
S000000810	YER008C	SEC3	MRM2	YGL136C	S000003104	genetic
S000000810	YER008C	SEC3	MSB3	YNL293W	S000005237	genetic
S000000810	YER008C	SEC3	MSB4	YOL112W	S000005472	genetic
S000000810	YER008C	SEC3	MSH4	YFL003C	S000001891	genetic
S000000810	YER008C	SEC3	MSN1	YOL116W	S000005476	genetic
S000000810	YER008C	SEC3	MSN1	YOL116W	S000005476	genetic
S000000810	YER008C	SEC3	MSO1	YNR049C	S000005332	genetic
S000000810	YER008C	SEC3	MSO1	YNR049C	S000005332	genetic
S000000810	YER008C	SEC3	MSO1	YNR049C	S000005332	genetic
S000000810	YER008C	SEC3	MSS4	YDR208W	S000002616	genetic
S000000810	YER008C	SEC3	MYO2	YOR326W	S000005853	genetic
S000000810	YER008C	SEC3	MYO2	YOR326W	S000005853	physical
S000000810	YER008C	SEC3	NBP2	YDR162C	S000002569	genetic
S000000810	YER008C	SEC3	NCA3	YJL116C	S000003652	genetic
S000000810	YER008C	SEC3	NEW1	YPL226W	S000006147	genetic
S000000810	YER008C	SEC3	NUM1	YDR150W	S000002557	genetic
S000000810	YER008C	SEC3	NVJ3	YDR179W-A	S000002587	genetic
S000000810	YER008C	SEC3	OAR1	YKL055C	S000001538	genetic
S000000810	YER008C	SEC3	OAZ1	YPL052W	S000005973	genetic
S000000810	YER008C	SEC3	OSH2	YDL019C	S000002177	genetic
S000000810	YER008C	SEC3	PAT1	YCR077C	S000000673	physical
S000000810	YER008C	SEC3	PET122	YER153C	S000000955	genetic
S000000810	YER008C	SEC3	PEX13	YLR191W	S000004181	physical
S000000810	YER008C	SEC3	PFY1	YOR122C	S000005648	genetic
S000000810	YER008C	SEC3	PFY1	YOR122C	S000005648	genetic
S000000810	YER008C	SEC3	PFY1	YOR122C	S000005648	genetic
S000000810	YER008C	SEC3	PIK1	YNL267W	S000005211	genetic
S000000810	YER008C	SEC3	PMT3	YOR321W	S000005848	genetic
S000000810	YER008C	SEC3	POL32	YJR043C	S000003804	genetic
S000000810	YER008C	SEC3	PTC1	YDL006W	S000002164	genetic
S000000810	YER008C	SEC3	PTC1	YDL006W	S000002164	genetic
S000000810	YER008C	SEC3	PUF3	YLL013C	S000003936	physical
S000000810	YER008C	SEC3	RAD1	YPL022W	S000005943	genetic
S000000810	YER008C	SEC3	RHO1	YPR165W	S000006369	physical
S000000810	YER008C	SEC3	RHO1	YPR165W	S000006369	physical
S000000810	YER008C	SEC3	RHO1	YPR165W	S000006369	physical
S000000810	YER008C	SEC3	RHO1	YPR165W	S000006369	physical
S000000810	YER008C	SEC3	RHO1	YPR165W	S000006369	physical
S000000810	YER008C	SEC3	RHO1	YPR165W	S000006369	physical
S000000810	YER008C	SEC3	RHO3	YIL118W	S000001380	genetic
S000000810	YER008C	SEC3	RHO3	YIL118W	S000001380	genetic
S000000810	YER008C	SEC3	RHO3	YIL118W	S000001380	physical
S000000810	YER008C	SEC3	RME1	YGR044C	S000003276	genetic
S000000810	YER008C	SEC3	RPB3	YIL021W	S000001283	physical
S000000810	YER008C	SEC3	RPL13A	YDL082W	S000002240	genetic
S000000810	YER008C	SEC3	RXT2	YBR095C	S000000299	genetic
S000000810	YER008C	SEC3	SAC1	YKL212W	S000001695	genetic
S000000810	YER008C	SEC3	SAC1	YKL212W	S000001695	genetic
S000000810	YER008C	SEC3	SAC3	YDR159W	S000002566	genetic
S000000810	YER008C	SEC3	SAP155	YFR040W	S000001936	genetic
S000000810	YER008C	SEC3	SAP30	YMR263W	S000004876	genetic
S000000810	YER008C	SEC3	SBH1	YER087C-B	S000002128	genetic
S000000810	YER008C	SEC3	SBP1	YHL034C	S000001026	physical
S000000810	YER008C	SEC3	SCP160	YJL080C	S000003616	physical
S000000810	YER008C	SEC3	SCW4	YGR279C	S000003511	genetic
S000000810	YER008C	SEC3	SDS3	YIL084C	S000001346	genetic
S000000810	YER008C	SEC3	SEC1	YDR164C	S000002571	genetic
S000000810	YER008C	SEC3	SEC1	YDR164C	S000002571	genetic
S000000810	YER008C	SEC3	SEC1	YDR164C	S000002571	genetic
S000000810	YER008C	SEC3	SEC1	YDR164C	S000002571	genetic
S000000810	YER008C	SEC3	SEC1	YDR164C	S000002571	genetic
S000000810	YER008C	SEC3	SEC1	YDR164C	S000002571	genetic
S000000810	YER008C	SEC3	SEC10	YLR166C	S000004156	genetic
S000000810	YER008C	SEC3	SEC10	YLR166C	S000004156	genetic
S000000810	YER008C	SEC3	SEC10	YLR166C	S000004156	genetic
S000000810	YER008C	SEC3	SEC10	YLR166C	S000004156	genetic
S000000810	YER008C	SEC3	SEC10	YLR166C	S000004156	genetic
S000000810	YER008C	SEC3	SEC10	YLR166C	S000004156	genetic
S000000810	YER008C	SEC3	SEC10	YLR166C	S000004156	physical
S000000810	YER008C	SEC3	SEC10	YLR166C	S000004156	physical
S000000810	YER008C	SEC3	SEC10	YLR166C	S000004156	physical
S000000810	YER008C	SEC3	SEC10	YLR166C	S000004156	physical
S000000810	YER008C	SEC3	SEC10	YLR166C	S000004156	physical
S000000810	YER008C	SEC3	SEC10	YLR166C	S000004156	physical
S000000810	YER008C	SEC3	SEC10	YLR166C	S000004156	physical
S000000810	YER008C	SEC3	SEC15	YGL233W	S000003202	genetic
S000000810	YER008C	SEC3	SEC15	YGL233W	S000003202	genetic
S000000810	YER008C	SEC3	SEC15	YGL233W	S000003202	genetic
S000000810	YER008C	SEC3	SEC15	YGL233W	S000003202	genetic
S000000810	YER008C	SEC3	SEC15	YGL233W	S000003202	genetic
S000000810	YER008C	SEC3	SEC15	YGL233W	S000003202	physical
S000000810	YER008C	SEC3	SEC15	YGL233W	S000003202	physical
S000000810	YER008C	SEC3	SEC15	YGL233W	S000003202	physical
S000000810	YER008C	SEC3	SEC15	YGL233W	S000003202	physical
S000000810	YER008C	SEC3	SEC2	YNL272C	S000005216	genetic
S000000810	YER008C	SEC3	SEC2	YNL272C	S000005216	genetic
S000000810	YER008C	SEC3	SEC2	YNL272C	S000005216	genetic
S000000810	YER008C	SEC3	SEC2	YNL272C	S000005216	genetic
S000000810	YER008C	SEC3	SEC3	YER008C	S000000810	physical
S000000810	YER008C	SEC3	SEC4	YFL005W	S000001889	genetic
S000000810	YER008C	SEC3	SEC4	YFL005W	S000001889	genetic
S000000810	YER008C	SEC3	SEC4	YFL005W	S000001889	genetic
S000000810	YER008C	SEC3	SEC4	YFL005W	S000001889	genetic
S000000810	YER008C	SEC3	SEC4	YFL005W	S000001889	genetic
S000000810	YER008C	SEC3	SEC4	YFL005W	S000001889	genetic
S000000810	YER008C	SEC3	SEC4	YFL005W	S000001889	genetic
S000000810	YER008C	SEC3	SEC4	YFL005W	S000001889	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	genetic
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	genetic
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	genetic
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	genetic
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC5	YDR166C	S000002573	physical
S000000810	YER008C	SEC3	SEC6	YIL068C	S000001330	genetic
S000000810	YER008C	SEC3	SEC6	YIL068C	S000001330	genetic
S000000810	YER008C	SEC3	SEC6	YIL068C	S000001330	genetic
S000000810	YER008C	SEC3	SEC6	YIL068C	S000001330	physical
S000000810	YER008C	SEC3	SEC6	YIL068C	S000001330	physical
S000000810	YER008C	SEC3	SEC6	YIL068C	S000001330	physical
S000000810	YER008C	SEC3	SEC6	YIL068C	S000001330	physical
S000000810	YER008C	SEC3	SEC6	YIL068C	S000001330	physical
S000000810	YER008C	SEC3	SEC6	YIL068C	S000001330	physical
S000000810	YER008C	SEC3	SEC6	YIL068C	S000001330	physical
S000000810	YER008C	SEC3	SEC61	YLR378C	S000004370	genetic
