Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name	Gene > Interactions > Participant 2 > Standard Name	Gene > Interactions > Participant 2 . Secondary Identifier	Gene > Interactions > Participant 2 . Primary Identifier	Gene > Interactions > Details > Relationship Type
S000000022	YAL024C	LTE1	CAF130	YGR134W	S000003366	genetic
S000000022	YAL024C	LTE1	CAF130	YGR134W	S000003366	genetic
S000000022	YAL024C	LTE1	CAF20	YOR276W	S000005802	physical
S000000022	YAL024C	LTE1	CAJ1	YER048C	S000000850	genetic
S000000022	YAL024C	LTE1	CAR1	YPL111W	S000006032	genetic
S000000022	YAL024C	LTE1	CAR2	YLR438W	S000004430	physical
S000000022	YAL024C	LTE1	CBC2	YPL178W	S000006099	genetic
S000000022	YAL024C	LTE1	CCR4	YAL021C	S000000019	physical
S000000022	YAL024C	LTE1	CCT3	YJL014W	S000003551	genetic
S000000022	YAL024C	LTE1	CCT7	YJL111W	S000003647	genetic
S000000022	YAL024C	LTE1	CCT8	YJL008C	S000003545	genetic
S000000022	YAL024C	LTE1	CDC10	YCR002C	S000000595	genetic
S000000022	YAL024C	LTE1	CDC13	YDL220C	S000002379	genetic
S000000022	YAL024C	LTE1	CDC13	YDL220C	S000002379	genetic
S000000022	YAL024C	LTE1	CDC14	YFR028C	S000001924	genetic
S000000022	YAL024C	LTE1	CDC14	YFR028C	S000001924	genetic
S000000022	YAL024C	LTE1	CDC14	YFR028C	S000001924	genetic
S000000022	YAL024C	LTE1	CDC14	YFR028C	S000001924	genetic
S000000022	YAL024C	LTE1	CDC14	YFR028C	S000001924	genetic
S000000022	YAL024C	LTE1	CDC14	YFR028C	S000001924	genetic
S000000022	YAL024C	LTE1	CDC14	YFR028C	S000001924	physical
S000000022	YAL024C	LTE1	CDC14	YFR028C	S000001924	physical
S000000022	YAL024C	LTE1	CDC15	YAR019C	S000000072	genetic
S000000022	YAL024C	LTE1	CDC15	YAR019C	S000000072	genetic
S000000022	YAL024C	LTE1	CDC20	YGL116W	S000003084	genetic
S000000022	YAL024C	LTE1	CDC20	YGL116W	S000003084	genetic
S000000022	YAL024C	LTE1	CDC20	YGL116W	S000003084	genetic
S000000022	YAL024C	LTE1	CDC20	YGL116W	S000003084	genetic
S000000022	YAL024C	LTE1	CDC20	YGL116W	S000003084	genetic
S000000022	YAL024C	LTE1	CDC23	YHR166C	S000001209	genetic
S000000022	YAL024C	LTE1	CDC23	YHR166C	S000001209	genetic
S000000022	YAL024C	LTE1	CDC24	YAL041W	S000000039	genetic
S000000022	YAL024C	LTE1	CDC24	YAL041W	S000000039	genetic
S000000022	YAL024C	LTE1	CDC26	YFR036W	S000001932	genetic
S000000022	YAL024C	LTE1	CDC27	YBL084C	S000000180	genetic
S000000022	YAL024C	LTE1	CDC28	YBR160W	S000000364	genetic
S000000022	YAL024C	LTE1	CDC28	YBR160W	S000000364	genetic
S000000022	YAL024C	LTE1	CDC28	YBR160W	S000000364	genetic
S000000022	YAL024C	LTE1	CDC28	YBR160W	S000000364	physical
S000000022	YAL024C	LTE1	CDC28	YBR160W	S000000364	physical
S000000022	YAL024C	LTE1	CDC33	YOL139C	S000005499	physical
S000000022	YAL024C	LTE1	CDC37	YDR168W	S000002575	genetic
S000000022	YAL024C	LTE1	CDC42	YLR229C	S000004219	genetic
S000000022	YAL024C	LTE1	CDC42	YLR229C	S000004219	genetic
S000000022	YAL024C	LTE1	CDC42	YLR229C	S000004219	genetic
S000000022	YAL024C	LTE1	CDC42	YLR229C	S000004219	genetic
S000000022	YAL024C	LTE1	CDC42	YLR229C	S000004219	genetic
S000000022	YAL024C	LTE1	CDC42	YLR229C	S000004219	genetic
S000000022	YAL024C	LTE1	CDC42	YLR229C	S000004219	genetic
S000000022	YAL024C	LTE1	CDC43	YGL155W	S000003123	genetic
S000000022	YAL024C	LTE1	CDC43	YGL155W	S000003123	genetic
S000000022	YAL024C	LTE1	CDC43	YGL155W	S000003123	genetic
S000000022	YAL024C	LTE1	CDC45	YLR103C	S000004093	genetic
S000000022	YAL024C	LTE1	CDC48	YDL126C	S000002284	genetic
S000000022	YAL024C	LTE1	CDC48	YDL126C	S000002284	genetic
S000000022	YAL024C	LTE1	CDC50	YCR094W	S000000690	genetic
S000000022	YAL024C	LTE1	CDC50	YCR094W	S000000690	genetic
S000000022	YAL024C	LTE1	CDC50	YCR094W	S000000690	genetic
S000000022	YAL024C	LTE1	CDC53	YDL132W	S000002290	genetic
S000000022	YAL024C	LTE1	CDC55	YGL190C	S000003158	genetic
S000000022	YAL024C	LTE1	CDC55	YGL190C	S000003158	genetic
S000000022	YAL024C	LTE1	CDC55	YGL190C	S000003158	genetic
S000000022	YAL024C	LTE1	CDC7	YDL017W	S000002175	genetic
S000000022	YAL024C	LTE1	CDC7	YDL017W	S000002175	genetic
S000000022	YAL024C	LTE1	CDC9	YDL164C	S000002323	genetic
S000000022	YAL024C	LTE1	CEF1	YMR213W	S000004826	genetic
S000000022	YAL024C	LTE1	CGI121	YML036W	S000004500	genetic
S000000022	YAL024C	LTE1	CHL1	YPL008W	S000005929	genetic
S000000022	YAL024C	LTE1	CHO2	YGR157W	S000003389	genetic
S000000022	YAL024C	LTE1	CIK1	YMR198W	S000004811	genetic
